review_id,author_playtime_forever,voted_up,votes_up,clean_text
154594463,54.95,True,0,"→ Enredo Você é Gerald de Rívia, ou Geraldo Reeves para os mais íntimos, você é um bruxo que faz bruxarias e come as bruxinhas, e faz coisa em troca de dinheiro, afinal, dinheiro na mão, cueca no chão. → Gameplay Gráficos esplêndidos, não precisa de um super computador Rocketz de 90 mil réis mas também não pode ser um Xuxa i3. O jogo é bem longo, muitas quests, side quests, tesouros, dungeons, mobs enfim, RPG. Você tem duas espadas, uma de prata e uma de aço, a de aço serve pra bater nas pessoas, e a de prata pra bater nos monstros, simples assim. O mapa é bem grande, resumindo se divide em Kaer Morhen (castelo dos bruxos), Pomar Branco (prólogo/tutorial), Velen (maior área) que tem Novigrad que é a cidadezona, e as ilhas Skellige (arquipélago com muitas quests legais), e claro que se você tiver a DLC Blood and Wine tens acesso ao Ducado de Toussaint (perfeito, sem defeitos). Você tem 05 magias diferentes, Igni (fogo), Quen (proteção), Yrden (circulo que desacelera o movimento), Aard (fus ro dah da 25 de março) e Axii (que faz as pessoas fazer o que você quer). Aliás, o jogo conta com um minigame chamado Gwent, um jogo de cartas tipo Yu Gi Oh, que tem 04 decks diferentes, monstros (viável apenas quando tiver ao menos 50 cartas no deck), Scoia-Tael (elfos malignos, só de arco), Reinos do Norte (muitas cartas de cerco e espiões, bom) e Nilfgaard (na minha opinião o melhor) e cada NPC que você derrota, ele te dá uma carta para um deck aleatório, é bem dahora, tem o Gwent pra baixar na Steam mas não é igual, o do The Witcher é mais massa. → Conclusão Muito, mas muito bom mesmo, quase chegando perto do Skyrim. Já platinei esse jogo no PS4 e estamos de volta ao game. Minha nota é 9,8/10, se você ainda não jogou, JOGUE IMEDIATAMENTE → Nota 98/100"
231854600,4.766666666666667,True,0,"A obra prima da CDPR, o jogo mais importante dos últimos 11 anos ao lado de Zelda Breath of the Wild. Perfeito, magnífico."
140193318,178.58333333333334,True,1,"Um dos melhores mundos abertos que já joguei. O mapa é gigantesco, repleto de lugares para explorar, e as missões secundárias são tão bem escritas que muitas vezes parecem fazer parte da história principal. O sistema de RPG também é excelente, permitindo criar diferentes builds ao combinar habilidades, equipamentos, poções, óleos, bombas e magias, adaptando o combate ao seu estilo de jogo. Some tudo isso a uma história marcante, personagens memoráveis e uma ambientação incrível, e o resultado é uma experiência inesquecível. As expansões também merecem destaque. Hearts of Stone entrega uma história mais contida, mas extremamente bem escrita, com alguns dos melhores personagens da franquia. Já Blood and Wine é praticamente um jogo novo: adiciona um mapa enorme, uma região completamente inédita, dezenas de horas de conteúdo e uma campanha fantástica que, em vários momentos, consegue superar até mesmo a história principal. É uma das melhores DLCs já lançadas para um jogo e fecha a jornada de Geralt com chave de ouro. Recomendo sem pensar duas vezes."
231813652,18.233333333333334,True,0,"Muito bom esse jogo, contem monstros, rpg, lutas, bosses, magia, é muito top"
231777146,24.55,True,1,"Aiiii geraldão, que jogo bom, Yennefer🔛🔝, Ciri tenha dó do meu pc no witcher 4 pfv"
231774394,7.366666666666666,True,0,MELHOR JOGO QUE JÁ JOGUEI NA MINHA VIDA!!! 1º The Witcher 3 2º The Elder Scrolls: Skyrim 3º Red Dead Redemption II
231761706,100.06666666666666,True,1,"um dos melhores jogos que joguei, muito imersivo e dinâmico, vale a pena demais. só tente não jogar com pressa, não precisa fazer tudo, mas se der chance para a maioria dos contratos e missões secundárias, tenho certeza que sua experiência vai ser muito mais rica."
231755077,42.016666666666666,True,0,"Jogo absurdo da pra matar uns bixo mt pika, historia absurda, mundo aberto incrível de se explorar e tem a gostosa da Yennefer 10/10"
231746624,37.65,True,1,"Esse jogo e uma obra prima! muito bom esse jogo, gameplay, história, personagens... Mas um ponto negativo desse jogo e que ele não explica muito bem o que tem que fazer nas missões por isso eu me perdi varias vezes e tive que pesquisar, e muita atenção no final que você escolher, eu me arrependi do meu e vou jogar de novo."
231746079,76.71666666666667,True,0,"tirando o cavalo, esse jogo é melhor que muito jogo hj em dia!"
231716254,97.95,True,0,"Um dos melhores jogos RPG, um mundo aberto extremamente vivo, missões muito boas historias boas demais, porém tudo isso de bom para termos um dos piores cavalos do mundo(amo o carpeado). Recomendo D+"
231715555,247.4,True,1,"Espetacular! É um exemplo a ser seguido pela indústria. Um jogo que cria missões secundárias não pra comer tempo, mas para entregar algo incrível, que são tão empolgantes ou até mais que as principais! Jogo que permite eu decidir o desfecho da narrativa e sentir que minha gameplay fez a diferença e permitiu personagens estarem vivos, mortos, nações prosperarem ou decairem!"
